Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,%ECommPage%,,
2,username,"Click the [<Object>] ",Click,,,E-Commerce
3,username,Enter the value [<Data>] in the Field [<Object>],Set,@guest,,E-Commerce
4,password,Enter the Decrypted value [<Data>] in the Field [<Object>],setEncrypted,@Z3Vlc3Q= Enc,,E-Commerce
5,Login,"Click the [<Object>] ",Click,,,E-Commerce
6,QTY_TENTS,"Click the [<Object>] ",Click,,Start Param,Ecommerce_Catalog
7,QTY_TENTS,Enter the value [<Data>] in the Field [<Object>],Set,Iterations:Q1,,Ecommerce_Catalog
8,QTY_BACKPACKS,Enter the value [<Data>] in the Field [<Object>],Set,Iterations:Q2,,Ecommerce_Catalog
9,QTY_GLASSES,Enter the value [<Data>] in the Field [<Object>],Set,Iterations:Q3,,Ecommerce_Catalog
10,QTY_SOCKS,Enter the value [<Data>] in the Field [<Object>],Set,Iterations:Q4,End Param,Ecommerce_Catalog
11,Place An Order,"Click the [<Object>] ",Click,,,Ecommerce_Catalog
12,couponCode,"Click the [<Object>] ",Click,,,Ecommerce_Place
13,couponCode,Enter the value [<Data>] in the Field [<Object>],Set,@25,,Ecommerce_Place
14,Proceed With Order,"Click the [<Object>] ",Click,,,Ecommerce_Place
