Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,URL_Global:URL,,
2,Execute,,SpritzBasicFeatures:Log_in,,,
3,Execute,,SpritzBasicFeatures:Quantities,,,
4,Place An Order,"Click the [<Object>] ",Click,,,Ecommerce_Catalog
5,couponCode,"Click the [<Object>] ",Click,,,Ecommerce_Place
6,couponCode,Enter the value [<Data>] in the Field [<Object>],Set,@25,,Ecommerce_Place
7,Proceed With Order,"Click the [<Object>] ",Click,,,Ecommerce_Place
8,billName,"Click the [<Object>] ",Click,,,Ecommerce_Billing
9,billName,Enter the value [<Data>] in the Field [<Object>],Set,@Charlie,,Ecommerce_Billing
10,billAddress,Enter the value [<Data>] in the Field [<Object>],Set,@New York,,Ecommerce_Billing
11,billPhone,"Click the [<Object>] ",Click,,,Ecommerce_Billing
12,billPhone,Assert if [<Object>] element is displayed,assertElementDisplayed,,,Ecommerce_Billing
